序号,关卡ID,内容,选项,答案,类型
221,3024,“电竞毒奶”指的是谁？,黄旭东|黄健翔|joker|2009,1|0|0|0,0
222,3024,《魔兽争霸3》游戏中，被玩家们称作为“塔魔”的中国选手是？,infi|moon|sky|grubby,1|0|0|0,0
223,3025,众所周知，枪骑兵（lancer）的幸运等级是？,E|B|C|D,1|0|0|0,0
224,3025,游戏《无尽秘境》中，“精灵法师”的性别是？,女|男,1|0,0
225,3025,游戏《无尽秘境》中，一件装备最多强化多少次？,10|5|20|15,1|0|0|0,0
226,3026,游戏《无尽秘境》中，强化装备的结果，可能出现几种情况？,5|4|3|2,1|0|0|0,0
227,3026,游戏《无尽秘境》中，“帝国生命恢复药剂”恢复的血量为？,20000|30000|500|1000,1|0|0|0,0
228,3026,你会将本游戏？,推荐给朋友|不管不顾,1|0,0
229,3027,“大吉大利，晚上吃鸡”这句话最早出现于？,决胜21点|绝地求生|英雄联盟|堡垒之夜,1|0|0|0,0
230,3027,游戏《以撒的结合》中，以撒妈妈的高跟鞋是什么颜色的？,红色|黑色|绿色|棕色,1|0|0|0,0
231,3027,《刀剑神域》中，桐人的黑剑叫什么名字？,阐释者|逐暗者|闪烁之光|时穿剑,1|0|0|0,0
232,3028,《刀剑神域》中，桐人的白剑叫什么名字？,逐暗者|阐释者|闪烁之光|时穿剑,1|0|0|0,0
233,3028,鲁鲁修的geass是左眼还是右眼？,左眼|右眼,1|0,0
234,3028,鲁鲁修的机甲叫什么名字？,高文|兰斯洛特|格拉海德|莫德雷德,1|0|0|0,0
235,3029,真男人从不回头看什么？,爆炸|车祸|雪崩|海浪,1|0|0|0,0
236,3029,圣斗士星矢的大招是什么？,天马流星拳|庐山升龙霸|风翼天翔|钻石星尘,1|0|0|0,0
237,3029,小说《斗破苍穹》中，最高等级是？,斗帝|斗神|斗圣|斗尊,1|0|0|0,0
238,3030,wow中，穆拉丁是什么职业？,战士|圣骑士|法师|山丘之王,1|0|0|0,0
239,3030,薛定谔的_?,猫|狗|猪|鼠,1|0|0|0,0
240,3030,死亡笔记的笔记本是横开的还是竖开的？,横开|竖开,1|0,0
241,4001,星际争霸的人口上限为多少？,200|100|150|188,1|0|0|0,0
242,4001,魔兽争霸的人口上限为多少？,100|80|200|150,1|0|0|0,0
243,4001,“ACGN”中的A代表什么？,Animation|Art|Amazing,1|0|0|0,0
244,4002,“ACGN”中的C代表什么？,Comic|Cute|Clever,1|0|0,0
245,4002,“ACGN”中的G代表什么？,Game|Green|Golf,1|0|0,0
246,4002,“ACGN”中的N代表什么？,Novel|Nature|National,1|0|0,0
247,4003,手握炉石开圣盾，老子已经_?,天下无敌|火力全开|毁天灭地|无人能挡,1|0|0|0,0
248,4003,武功再高，也怕_？,羊刀|吹风|黑皇杖|买活,1|0|0|0,0
249,4003,《炉石传说》砰砰博士的费用是几？,7|8|9|10,1|0|0|0,0
250,4004,武藤游戏的神器是什么？,千年积木|千年智慧轮|千年眼|千年钥匙,1|0|0|0,0
251,4004,游戏《战神3》的最终BOSS是？,宙斯|赫拉|波塞冬|哈迪斯,1|0|0|0,0
252,4004,游戏《最终幻想7》男主角是？,克劳德|洛克|提达|斯诺,1|0|0|0,0
253,4005,游戏系列《忍者龙剑传》的男主角的名字是？,隼龙|忍龙|红叶|战龙,1|0|0|0,0
254,4005,《圣斗士星矢》中黄金圣斗士的禁招是？,雅典娜之惊叹|曙光女神之宽恕|天舞宝轮|阿修罗,1|0|0|0,0
255,4005,游戏《街头霸王》中春丽的姓氏是？,张|春|李|赵,1|0|0|0,0
256,4006,雇佣兵“米山”出自以下哪一款游戏？,暗黑破坏神|刺客信条|帝国时代|魔兽世界,1|0|0|0,0
257,4006,“太阁立志传5”中，文武全才指的是谁？,西园寺|织田信长|丰臣秀吉|宁宁,1|0|0|0,0
258,4006,“要致富，先撸树”出自以下哪款游戏？,我的世界|饥荒|魔兽争霸3|岛屿部落,1|0|0|0,0
